"","ARO1","term1","ARO2","term2","n_unigenes","gene_class1","gene_class2"
"195","ARO:3000596","erm(40)","ARO:3004606","ErmX",7,"erm","erm"
"196","ARO:3007109","nimD","ARO:3007106","nimG",7,"nim","nim"
"197","ARO:3002926","vanR gene in vanG cluster","ARO:3007191","vanR gene in vanP cluster",7,"van","van"
"198","ARO:3002542","AAC(3)-IXa","ARO:3002543","AAC(3)-VIIIa",6,"aac","aac"
"199","ARO:3002529","AAC(3)-Ib","ARO:3002530","AAC(3)-Id",6,"aac","aac"
"200","ARO:3002567","AAC(6')-I-48","ARO:3004638","AAC(6')-Iw",6,"aac","aac"
"201","ARO:3002553","AAC(6')-Iaa","ARO:3002571","AAC(6')-If",6,"aac","aac"
"202","ARO:3002569","AAC(6')-Iaa","ARO:3002571","AAC(6')-Iy",6,"aac","aac"
"203","ARO:3002644","APH(3')-IIa","ARO:3002645","APH(3')-IIb",6,"aph","aph"
"204","ARO:3000090","AST-1","ARO:3004740","Bla1",6,"class A beta-lactamase","class A beta-lactamase"
"205","ARO:3000090","BCL-1","ARO:3004749","Bla1",6,"class A beta-lactamase","class A beta-lactamase"
"206","ARO:3004766","CGA-1","ARO:3009035","RAA-1",6,"class A beta-lactamase","class A beta-lactamase"
"207","ARO:3003003","CfxA3","ARO:3003005","CfxA4",6,"class A beta-lactamase","class A beta-lactamase"
"208","ARO:3000602","Erm(38)","ARO:3000601","Erm(39)",6,"erm","erm"
"209","ARO:3000602","Erm(39)","ARO:3000596","ErmX",6,"erm","erm"
"210","ARO:3003565","FAR-1","ARO:3004784","R39",6,"class A beta-lactamase","class A beta-lactamase"
"211","ARO:3002511","GOB-49","ARO:3005697","LRA-12",6,"class B beta-lactamase","class B beta-lactamase"
"212","ARO:3002482","LRA-1","ARO:3009024","PEN-B2",6,"class A beta-lactamase","class A beta-lactamase"
"213","ARO:3002521","OCH-6","ARO:3002519","OCH-8",6,"class C beta-lactamase","class C beta-lactamase"
"214","ARO:3009041","OCH-8","ARO:3002521","RSC1-1",6,"class C beta-lactamase","class C beta-lactamase"
"215","ARO:3001694","OXA-257","ARO:3001751","OXA-296",6,"class D beta-lactamase","class D beta-lactamase"
"216","ARO:3001769","OXA-42","ARO:3005794","OXA-572",6,"class D beta-lactamase","class D beta-lactamase"
