"gene","aro"
"OprA","ARO:3003039"
"vanS_gene_in_vanE_cluster","ARO:3002935"
"clbC","ARO:3002816"
"arnA","ARO:3002985"
"AAC(6')-If","ARO:3002553"
"vanT_gene_in_vanG_cluster","ARO:3002972"
"vanR_gene_in_vanG_cluster","ARO:3002926"
"tet(S)","ARO:3000192"
"AAC(6')-IIa","ARO:3002594"
"OXA-258","ARO:3001503"
"adeK","ARO:3000782"
"ramA","ARO:3000823"
"CTX-M-5","ARO:3001868"
"macA","ARO:3000533"
"OCH-6","ARO:3002519"
"Erm(39)","ARO:3000602"
"FosK","ARO:3003207"
"AQU-1","ARO:3002993"
"ceoA","ARO:3003009"
"tap","ARO:3000343"
"FOX-4","ARO:3002158"
"OXA-42","ARO:3001769"
"OXA-235","ARO:3001676"
"mphB","ARO:3000318"
"IND-4","ARO:3002260"
"vatA","ARO:3002840"
"ANT(4')-Ia","ARO:3002623"
"OXA-359","ARO:3001546"
"lsaC","ARO:3003112"
"IMP-18","ARO:3002209"
"vanO","ARO:3002913"
"emrA","ARO:3000027"
"vanF","ARO:3002908"
"QnrB35","ARO:3002750"
"aadA16","ARO:3002616"
"AAC(2')-Ia","ARO:3002523"
"mexY","ARO:3003033"
"ACT-6","ARO:3001825"
"vanX_gene_in_vanB_cluster","ARO:3002950"
"cepA","ARO:3003559"
"cphA3","ARO:3003093"
"MdtK","ARO:3001327"
"DIM-1","ARO:3000848"
"vanH_gene_in_vanF_cluster","ARO:3002945"
"tmrB","ARO:3003059"
"ErmY","ARO:3002825"
"QnrB5","ARO:3002719"
"vanX_gene_in_vanO_cluster","ARO:3002954"
"vanY_gene_in_vanM_cluster","ARO:3002961"
"tet(M)","ARO:3000186"
"tet(36)","ARO:3000197"
"vgaB","ARO:3000118"
"bacA","ARO:3002986"
"AAC(6')-Ir","ARO:3002561"
"OXY-1-3","ARO:3002391"
"oleI","ARO:3000866"
"ykkC","ARO:3003063"
"APH(3'')-Ib","ARO:3002639"
